(1327268, 'COD FILLETS', 'Iron, Fe', 0.32, 'MG')
(1327268, 'COD FILLETS', 'Sodium, Na', 53.0, 'MG')
(1327268, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 1.1, 'MG')
(1354539, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(1354539, 'COD FILLETS', 'Calcium, Ca', 18.0, 'MG')
(1354539, 'COD FILLETS', 'Iron, Fe', 0.0, 'MG')
(1354539, 'COD FILLETS', 'Sodium, Na', 159.0, 'MG')
(1354539, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1396883, 'COD LIVER', 'Fiber, total dietary', 7.3, 'G')
(1396883, 'COD LIVER', 'Calcium, Ca', 0.0, 'MG')
(1396883, 'COD LIVER', 'Iron, Fe', 0.0, 'MG')
(1396883, 'COD LIVER', 'Sodium, Na', 300.0, 'MG')
(1396883, 'COD LIVER', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1420271, 'COD', 'Fiber, total dietary', 0.0, 'G')
(1420271, 'COD', 'Calcium, Ca', 19.0, 'MG')
(1420271, 'COD', 'Iron, Fe', 0.38, 'MG')
(1420271, 'COD', 'Potassium, K', 413.0, 'MG')
(1420271, 'COD', 'Sodium, Na', 610.0, 'MG')
(1459488, 'COD FILLET MSC', 'Fiber, total dietary', 0.0, 'G')
(1459488, 'COD FILLET MSC', 'Calcium, Ca', 16.0, 'MG')
(1459488, 'COD FILLET MSC', 'Iron, Fe', 0.38, 'MG')
(1459488, 'COD FILLET MSC', 'Potassium, K', 420.0, 'MG')
(1459488, 'COD FILLET MSC', 'Sodium, Na', 54.0, 'MG')
(1459488, 'COD FILLET MSC', 'Vitamin C, total ascorbic acid', 1.0, 'MG')
(1465713, 'CODON BLEU CHICKEN POPPERS', 'Fiber, total dietary', 1.2, 'G')
(1465713, 'CODON BLEU CHICKEN POPPERS', 'Calcium, Ca', 94.0, 'MG')
(1465713, 'CODON BLEU CHICKEN POPPERS', 'Iron, Fe', 1.69, 'MG')
(1465713, 'CODON BLEU CHICKEN POPPERS', 'Sodium, Na', 553.0, 'MG')
(1465713, 'CODON BLEU CHICKEN POPPERS', 'Vitamin C, total ascorbic acid', 1.4, 'MG')
(1483061, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Fiber, total dietary', 1.2, 'G')
(1483061, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Calcium, Ca', 4.0, 'MG')
(1483061, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Iron, Fe', 0.07, 'MG')
(1483061, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Sodium, Na', 294.0, 'MG')
(1483061, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Vitamin C, total ascorbic acid', 1.2, 'MG')
(1503721, 'COD-FISH IN BISCAYAN SAUCE', 'Fiber, total dietary', 0.0, 'G')
(1503721, 'COD-FISH IN BISCAYAN SAUCE', 'Calcium, Ca', 36.0, 'MG')
(1503721, 'COD-FISH IN BISCAYAN SAUCE', 'Iron, Fe', 1.31, 'MG')
